Symbol,MCAP,PE,DIV,Name,Sector,Industry
OMC,last-price,current-price,change-percent,14.78,10.83,0.04,"Omnicom Group Inc","TRADE & SERVICES","SERVICES-ADVERTISING AGENCIES"
ORAN,last-price,current-price,change-percent,30.08,31.68,0.05,"Orange S.A","TECHNOLOGY","TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)"
PAYX,last-price,current-price,change-percent,44.58,36.79,0.02,"Paychex Inc","TRADE & SERVICES","SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT"
PBA,last-price,current-price,change-percent,22.97,26.24,0.08,"Pembina Pipeline Corporation","ENERGY & TRANSPORTATION","OIL & GAS FIELD EXPLORATION SERVICES"
PEG,last-price,current-price,change-percent,31.44,17.48,0.03,"Public Service Enterprise Group Incorporated","ENERGY & TRANSPORTATION","ELECTRIC & OTHER SERVICES COMBINED"
PEP,last-price,current-price,change-percent,225.06,27.73,0.03,"PepsiCo Inc","MANUFACTURING","BEVERAGES"
PFE,last-price,current-price,change-percent,281.34,14.33,0.03,"Pfizer Inc","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
PFG,last-price,current-price,change-percent,18.35,11.13,0.03,"Principal Financial Group Inc","FINANCE","ACCIDENT & HEALTH INSURANCE"
PG,last-price,current-price,change-percent,355.30,25.47,0.02,"The Procter & Gamble Company","LIFE SCIENCES","SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
PGR,last-price,current-price,change-percent,55.84,9.88,0.05,"The Progressive Corporation","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
PKG,last-price,current-price,change-percent,12.75,23.32,0.03,"Packaging Corporation of America","MANUFACTURING","PAPERBOARD CONTAINERS & BOXES"
PKX,last-price,current-price,change-percent,20.27,11.92,0.04,"POSCO","MANUFACTURING","STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
PM,last-price,current-price,change-percent,145.83,17.57,0.05,"Philip Morris International Inc","MANUFACTURING","CIGARETTES"
PNC,last-price,current-price,change-percent,87.50,16.08,0.02,"The PNC Financial Services Group Inc","FINANCE","NATIONAL COMMERCIAL BANKS"
PRU,last-price,current-price,change-percent,41.42,5.98,0.04,"Prudential Financial Inc","FINANCE","LIFE INSURANCE"
PSA,last-price,current-price,change-percent,57.37,51.62,0.02,"Public Storage","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
QSR,last-price,current-price,change-percent,18.03,23.52,0.04,"Restaurant Brands International Inc","TRADE & SERVICES","RETAIL-EATING PLACES"
RCI,last-price,current-price,change-percent,24.71,18.96,0.04,"Rogers Communications Inc","TECHNOLOGY","CABLE & OTHER PAY TELEVISION SERVICES"
RDY,last-price,current-price,change-percent,10.80,41.19,0.39,"Dr. Reddy's Laboratories Limited","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS"
RE,last-price,current-price,change-percent,10.64,11.99,0.02,"Everest Re Group Ltd","FINANCE","FIRE, MARINE & CASUALTY INSURANCE"
REG,last-price,current-price,change-percent,12.87,38.74,0.03,"Regency Centers Corporation","REAL ESTATE & CONSTRUCTION","REAL ESTATE INVESTMENT TRUSTS"
RIO,last-price,current-price,change-percent,102.01,5.47,0.12,"Rio Tinto Group","TECHNOLOGY","GENERAL"
RTX,last-price,current-price,change-percent,133.29,40.48,0.02,"Raytheon Technologies Corporation","MANUFACTURING","AIRCRAFT ENGINES & ENGINE PARTS"
RY,last-price,current-price,change-percent,151.05,14.21,0.04,"Royal Bank of Canada","FINANCE","COMMERCIAL BANKS, NEC"
SCCO,last-price,current-price,change-percent,47.72,15.13,0.05,"Southern Copper Corporation","ENERGY & TRANSPORTATION","METAL MINING"
